Sample Description	SRA Sample Accession	SRA Run Accession	Sequencing Name	Sample Number	Mating result	LYS	URA	Comments
Mat a, LYS+ segregant 356	ERS024925	ERR038944	6178_8#56	356	x	+	-	
Mat a, LYS+ segregant 357	ERS024926	ERR038945	6178_8#57	357	a	+	-	contamination
Mat a, LYS+ segregant 358	ERS025017	ERR038946	6178_8#58	358	x	+	-	contamination? (low)
Mat a, LYS+ segregant 359	ERS024928	ERR038947	6178_8#59	359	a	+	-	
Mat a, LYS+ segregant 360	ERS024929	ERR038948	6178_8#60	360	a	+	-	
Mat a, LYS+ segregant 361	ERS025018	ERR038949	6178_8#61	361	a	+	-	
Mat a, LYS+ segregant 362	ERS024931	ERR038950	6178_8#62	362	a	+	-	chr1 aneuploidy
Mat a, LYS+ segregant 363	ERS024932	ERR038951	6178_8#63	363	a	-	-	
Mat a, LYS+ segregant 364	ERS025047	ERR038952	6178_8#64	364	a	-	-	
Mat a, LYS+ segregant 365	ERS024934	ERR038953	6178_8#65	365	a	+	-	
Mat a, LYS+ segregant 366	ERS024935	ERR038954	6178_8#66	366	a	+	-	
Mat a, LYS+ segregant 367	ERS025020	ERR038955	6178_8#67	367	a	-	-	
Mat a, LYS+ segregant 368	ERS024937	ERR038956	6178_8#68	368	a	-	-	
Mat a, LYS+ segregant 369	ERS024938	ERR038957	6178_8#69	369	a	-	-	
Mat a, LYS+ segregant 370	ERS025021	ERR038958	6178_8#70	370	a	-	-	
Mat a, LYS+ segregant 371	ERS024940	ERR038959	6178_8#71	371	a	+	-	
Mat a, LYS+ segregant 372	ERS024941	ERR038960	6178_8#72	372	a	+	-	
Mat a, LYS+ segregant 373	ERS025048	ERR038961	6178_8#73	373	a	+	-	contamination
Mat a, LYS+ segregant 374	ERS024943	ERR038962	6178_8#74	374	a	-	-	
Mat a, LYS+ segregant 375	ERS024944	ERR038963	6178_8#75	375	a	+	-	
Mat a, LYS+ segregant 376	ERS025023	ERR038964	6178_8#76	376	a	-	-	
Mat a, LYS+ segregant 377	ERS024946	ERR038965	6178_8#77	377	a	-	-	
Mat a, LYS+ segregant 378	ERS024947	ERR038966	6178_8#78	378	a	+	-	chr1 aneuploidy
Mat a, LYS+ segregant 379	ERS025024	ERR038967	6178_8#79	379	a	+	-	
Mat a, LYS+ segregant 380	ERS024949	ERR038968	6178_8#80	380	a	+	-	chr1 aneuploidy
Mat a, LYS+ segregant 381	ERS024950	ERR038969	6178_8#81	381	a	+	-	
Mat a, LYS+ segregant 382	ERS025060	ERR038970	6178_8#82	382	a	+	-	
Mat a, LYS+ segregant 383	ERS024952	ERR038971	6178_8#83	383	a	+	-	
Mat a, LYS+ segregant 384	ERS024953	ERR038972	6178_8#84	384	a	+	-	
Mat a, LYS+ segregant 385	ERS025026	ERR038973	6178_8#85	385	a	+	-	
Mat a, LYS+ segregant 386	ERS024955	ERR038974	6178_8#86	386	a	+	-	
Mat a, LYS+ segregant 387	ERS024956	ERR038975	6178_8#87	387	a	+	-	
Mat a, LYS+ segregant 388	ERS025027	ERR038976	6178_8#88	388	a	+	-	
Mat a, LYS+ segregant 389	ERS024958	ERR038977	6178_8#89	389	a	+	-	
Mat a, LYS+ segregant 390	ERS024959	ERR038978	6178_8#90	390	a	+	-	
Mat a, LYS+ segregant 391	ERS025050	ERR038979	6178_8#91	391	a	+	-	
Mat a, LYS+ segregant 392	ERS024961	ERR038980	6178_8#92	392	a	+	-	
Mat a, LYS+ segregant 393	ERS024962	ERR038981	6178_8#93	393	a	+	-	
Mat a, LYS+ segregant 394	ERS025029	ERR038982	6178_8#94	394	a	+	-	
Mat a, LYS+ segregant 395	ERS024964	ERR038983	6178_8#95	395	a	+	-	contamination
Mat a, LYS+ segregant 396	ERS024965	ERR038984	6178_8#96	396	a	+	-	contamination? (low)
