name,note,Alias,Source,PlateLayout,Ignore,Parent1,Parent2,Group,rQTLgroup,Background,MAT,GenotypeFile,ho-,HYG+,G418+,leu-,lys-,met-,ura-
AS01fc029,,FS029; NAxSA_29,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc030,,FS030; NAxSA_30,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc031,,FS031; NAxSA_31,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc032,,FS032; NAxSA_32,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc033,,FS033; NAxSA_33,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc034,,FS034; NAxSA_34,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc035,,FS035; NAxSA_35,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc036,,FS036; NAxSA_36,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc037,,FS037; NAxSA_37,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc038,,FS038; NAxSA_38,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc039,,FS039; NAxSA_39,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc040,,FS040; NAxSA_40,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc041,,FS041; NAxSA_41,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc042,,FS042; NAxSA_42,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc043,,FS043; NAxSA_43,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc044,,FS044; NAxSA_44,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc045,,FS045; NAxSA_45,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc046,,FS046; NAxSA_46,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc047,,FS047; NAxSA_47,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc048,,FS048; NAxSA_48,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc049,,FS049; NAxSA_49,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc050,,FS050; NAxSA_50,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc051,,FS051; NAxSA_51,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc052,,FS052; NAxSA_52,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc053,,FS053; NAxSA_53,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc054,,FS054; NAxSA_54,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc055,,FS055; NAxSA_55,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc056,,FS056; NAxSA_56,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc057,,FS057; NAxSA_57,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc058,,FS058; NAxSA_58,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc059,,FS059; NAxSA_59,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc060,,FS060; NAxSA_60,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc061,,FS061; NAxSA_61,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc062,,FS062; NAxSA_62,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc063,,FS063; NAxSA_63,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc064,,FS064; NAxSA_64,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc065,,FS065; NAxSA_65,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc066,,FS066; NAxSA_66,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc067,,FS067; NAxSA_67,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc068,,FS068; NAxSA_68,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc069,,FS069; NAxSA_69,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc070,,FS070; NAxSA_70,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc071,,FS071; NAxSA_71,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc072,,FS072; NAxSA_72,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc073,,FS073; NAxSA_73,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc074,,FS074; NAxSA_74,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc075,,FS075; NAxSA_75,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc076,,FS076; NAxSA_76,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc077,,FS077; NAxSA_77,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc078,,FS078; NAxSA_78,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc079,,FS079; NAxSA_79,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc080,,FS080; NAxSA_80,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc081,,FS081; NAxSA_81,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc082,,FS082; NAxSA_82,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc083,,FS083; NAxSA_83,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc084,,FS084; NAxSA_84,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc085,,FS085; NAxSA_85,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc086,,FS086; NAxSA_86,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc087,,FS087; NAxSA_87,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc088,,FS088; NAxSA_88,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc089,,FS089; NAxSA_89,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc090,,FS090; NAxSA_90,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc091,,FS091; NAxSA_91,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc092,,FS092; NAxSA_92,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc093,,FS093; NAxSA_93,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc094,,FS094; NAxSA_94,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc095,,FS095; NAxSA_95,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc096,,FS096; NAxSA_96,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc101,,FS101; WExNA_01,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc102,,FS102; WExNA_02,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc103,,FS103; WExNA_03,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc104,,FS104; WExNA_04,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc105,,FS105; WExNA_05,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc106,,FS106; WExNA_06,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc107,,FS107; WExNA_07,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc108,,FS108; WExNA_08,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc109,,FS109; WExNA_09,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc110,,FS110; WExNA_10,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc111,,FS111; WExNA_11,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc112,,FS112; WExNA_12,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc113,,FS113; WExNA_13,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc114,,FS114; WExNA_14,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc115,,FS115; WExNA_15,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc116,,FS116; WExNA_16,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc117,,FS117; WExNA_17,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc118,,FS118; WExNA_18,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc119,,FS119; WExNA_19,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc120,,FS120; WExNA_20,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc121,,FS121; WExNA_21,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc122,,FS122; WExNA_22,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc123,,FS123; WExNA_23,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc124,,FS124; WExNA_24,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc125,,FS125; WExNA_25,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc126,,FS126; WExNA_26,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc127,,FS127; WExNA_27,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc128,,FS128; WExNA_28,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc129,,FS129; WExNA_29,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc130,,FS130; WExNA_30,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc131,,FS131; WExNA_31,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc132,,FS132; WExNA_32,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc133,,FS133; WExNA_33,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc134,,FS134; WExNA_34,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc135,,FS135; WExNA_35,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc136,,FS136; WExNA_36,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc137,,FS137; WExNA_37,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc138,,FS138; WExNA_38,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,b,01fc genotypes.csv,1,1,1,1,1,1,1
AE01fc139,,FS139; WExNA_39,AaxEb,AS+AE01fc 384,FALSE,Aa,Eb,1,AE01fc,AE,a,01fc genotypes.csv,1,1,1,1,1,1,1
